Char Frequency list:

ø :1422320358

E :794640504

A :781153634

O :700213656

S :490654782

R :414160132

I :412819244

D :397200672

N :335387212

T :318277318

M :275514250

C :230794514

U :230347514

P :195212434

L :182716622

V :79217796

F :75512502

Ã :67358752

G :65734404

B :58119094

Q :56479112

Ç :53842718

H :46140218

É :32280960

Á :25258100

Í :22205040

Z :20684168

J :19908382

X :16918044

Ê :12105690

Ó :11613906

Õ :10605416

Ú :8496554

À :7709438

W :4300930

- :3687032

Â :3676518

Y :3346778

K :2452552

Ô :2226930


